round,arm,gate,label,runtime,game,device_model,device_brand,android_release,android_sdk,webview_version,migo_version,harness_version,timestamp,fps_source,first_frame_ms,game_ready_ms,cpu_pct,pss_peak_kb,fps_median,fps_1pct_low
1,pr118,"cold soc=32749mC max=2861000 waited=0s",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:aa2879f,1.0.0,2026-08-25T00:34:24Z,game-telemetry,282,636,42,207638,60,59
1,v094,"cold soc=35000mC max=2861000 waited=0s",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:aa2879f,1.0.0,2026-08-25T00:36:58Z,game-telemetry,333,686,43,205899,60,59
2,v094,"cold soc=34997mC max=2861000 waited=15s",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:aa2879f,1.0.0,2026-08-25T00:39:35Z,game-telemetry,286,685,42,207320,60,59
2,pr118,"cold soc=34997mC max=2861000 waited=133s",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:aa2879f,1.0.0,2026-08-25T00:44:24Z,game-telemetry,298,698,42,209848,60,59
3,pr118,"TIMEOUT waited=422s soc=35476mC max=2861000 PROCEEDED-UNGATED",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:aa2879f,1.0.0,2026-08-25T00:53:46Z,game-telemetry,285,596,42,208142,60,59
3,v094,"TIMEOUT waited=422s soc=35138mC max=2861000 PROCEEDED-UNGATED",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:aa2879f,1.0.0,2026-08-25T01:03:23Z,game-telemetry,267,599,42,205152,60,59
1,optz,"cold soc=34003mC max=2861000 waited=0s",bunnymark_migo,migo,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:8f0f021,1.0.0,2026-08-25T06:51:47Z,game-telemetry,231,389,42,111203,60,59
1,opt2,"TIMEOUT waited=421s soc=35964mC max=2861000 PROCEEDED-UNGATED",bunnymark_migo,migo,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:af5ba77,1.0.0,2026-08-25T07:01:21Z,game-telemetry,225,392,43,112684,60,59
1,optz,"TIMEOUT waited=420s soc=36000mC max=2861000 PROCEEDED-UNGATED",canvasmark_migo,migo,canvasmark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:af5ba77,1.0.0,2026-08-25T07:10:57Z,game-telemetry,231,325,72,89114,60,59
1,opt2,"TIMEOUT waited=423s soc=36280mC max=2861000 PROCEEDED-UNGATED",canvasmark_migo,migo,canvasmark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:af5ba77,1.0.0,2026-08-25T07:20:33Z,game-telemetry,224,315,72,89834,60,59
1,optz,"TIMEOUT waited=423s soc=36061mC max=2861000 PROCEEDED-UNGATED",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:af5ba77,1.0.0,2026-08-25T07:30:08Z,game-telemetry,342,592,42,208718,60,59
1,opt2,"TIMEOUT waited=423s soc=36982mC max=2861000 PROCEEDED-UNGATED",endless-runner_migo,migo,endless-runner,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:af5ba77,1.0.0,2026-08-25T07:39:44Z,game-telemetry,318,700,40,204904,60,59
2,opt2,"TIMEOUT waited=420s soc=36992mC max=2861000 PROCEEDED-UNGATED",bunnymark_migo,migo,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:af5ba77,1.0.0,2026-08-25T07:49:05Z,game-telemetry,221,389,43,112323,60,59
2,optz,"TIMEOUT waited=421s soc=36534mC max=2861000 PROCEEDED-UNGATED",bunnymark_migo,migo,bunnymark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:af5ba77,1.0.0,2026-08-25T07:58:37Z,game-telemetry,230,395,44,112891,60,59
2,opt2,"TIMEOUT waited=421s soc=36300mC max=2861000 PROCEEDED-UNGATED",canvasmark_migo,migo,canvasmark,TAS-AN00,HUAWEI,12,31,(com.huawei.webview; 114.0.5.302),local:af5ba77,1.0.0,2026-08-25T08:08:10Z,game-telemetry,229,325,74,88918,60,59
